check_id,requirement,observed,expected,passed,evidence_file
SCOPE_01,正式找回范围恰为首次因无合格实验口袋淘汰的靶点,46,46,True,/root/autodl-tmp/BioMaster/outputs/recovered_no_experimental_pocket_targets_ch37_v1/RECOVERED_NO_EXPERIMENTAL_POCKET_TARGETS_46_V1.csv
POCKET_01,46个靶点均有明确的预测口袋证据等级,"{'P1_P2RANK_FPOCKET_SAME_SITE': 37, 'P2_FPOCKET_GEOMETRIC_RESCUE': 7, 'P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS': 2}","{'P1_P2RANK_FPOCKET_SAME_SITE': 37, 'P2_FPOCKET_GEOMETRIC_RESCUE': 7, 'P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS': 2}",True,/root/autodl-tmp/BioMaster/outputs/recovered_no_experimental_pocket_targets_ch37_v1/RECOVERED_NO_EXPERIMENTAL_POCKET_TARGETS_46_V1.csv
DTA_01,ConPLEx覆盖720药物×46靶点,"{'rows': 33120, 'targets': 46, 'ligands': 720}","{'rows': 33120, 'targets': 46, 'ligands': 720}",True,/root/autodl-tmp/BioMaster/outputs/recovered_dta_720x46_v1/RECOVERED_DTA_720_X_46_EVIDENCE_MATRIX_V1.csv.gz
DTA_02,DrugCLIP仅覆盖44个精确序列全长结构靶点,"{'eligible_rows': 31680, 'eligible_targets': 44}","{'eligible_rows': 31680, 'eligible_targets': 44}",True,/root/autodl-tmp/BioMaster/outputs/recovered_dta_720x46_v1/RECOVERED_DTA_720_X_46_EVIDENCE_MATRIX_V1.csv.gz
DTA_03,DTA短名单三类计数与冻结结果一致,"{'two_model_target_top10': 276, 'bidirectional_top10': 58, 'sequence_fragment_exploratory': 72}","{'two_model_target_top10': 276, 'bidirectional_top10': 58, 'sequence_fragment_exploratory': 72}",True,/root/autodl-tmp/BioMaster/outputs/recovered_dta_720x46_v1/RECOVERED_DTA_720_X_46_EVIDENCE_MATRIX_V1.csv.gz
GNINA_01,23个靶点各有12阳性+12阴性且每配体5个GNINA姿势,"{'targets': 23, 'controls': 552, 'poses': 2760}","{'targets': 23, 'controls': 552, 'poses': 2760}",True,/root/autodl-tmp/BioMaster/outputs/recovered_gnina_pocket_validation_23_v1/RECOVERED_GNINA_CONTROL_PANEL_23_X_24_V1.csv.gz
GNINA_02,GNINA口袋资格结论为3强、9边缘、11失败,"{'FAILED_CONTROL_SEPARATION': 11, 'MARGINAL_NOT_QUALIFIED': 9, 'QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION': 3}","{'FAILED_CONTROL_SEPARATION': 11, 'MARGINAL_NOT_QUALIFIED': 9, 'QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION': 3}",True,/root/autodl-tmp/BioMaster/outputs/recovered_gnina_pocket_validation_23_v1/RECOVERED_GNINA_PREDICTED_POCKET_METRICS_23_V1.csv
CANDIDATE_01,27个候选完成5姿势对接并按证据门控分层,"{'pairs': 27, 'poses': 135, 'statuses': {'MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT': 15, 'NO_GNINA_CONTROL_CALIBRATED_SUPPORT': 5, 'ORTHOGONAL_RESCUE_SIGNAL_MODEL_DISAGREEMENT_REVIEW': 5, 'COMPUTATIONAL_TRIAGE_PASS_REQUIRES_EXPERIMENT': 2}}","{'pairs': 27, 'poses': 135, 'statuses': {'MODEL_DISAGREEMENT_NO_ORTHOGONAL_SUPPORT': 15, 'ORTHOGONAL_RESCUE_SIGNAL_MODEL_DISAGREEMENT_REVIEW': 5, 'NO_GNINA_CONTROL_CALIBRATED_SUPPORT': 5, 'COMPUTATIONAL_TRIAGE_PASS_REQUIRES_EXPERIMENT': 2}}",True,/root/autodl-tmp/BioMaster/outputs/recovered_gnina_candidate_docking_v1/RECOVERED_GNINA_CANDIDATE_EVIDENCE_V1.csv
BOLTZ_01,LOXL2两个候选各完成5模型和10组两两一致性比较并执行MD门控,"{'pairs': 2, 'models': 10, 'pairwise_comparisons': 20, 'md_authorized': 0}","{'pairs': 2, 'models': 10, 'pairwise_comparisons': 20, 'md_authorized': 0}",True,/root/autodl-tmp/BioMaster/outputs/recovered_boltz2_loxl2_candidates_v1/RECOVERED_BOLTZ2_LOXL2_PAIR_SUMMARY_V1.csv
CLASS_01,46个靶点完成12个机制分支、结构条件、计算和实验分类,"{'targets': 46, 'branches': 12, 'branch_total': 46}","{'targets': 46, 'branches': 12, 'branch_total': 46}",True,/root/autodl-tmp/BioMaster/outputs/recovered_target_program_integrated_v1/RECOVERED_46_MECHANISTIC_CLASSIFICATION_V1.csv
