id,group,date,architecture,input,output,supervision,weights,source,weight_source,next,scored_pairs,coverage_percent,state
ConPLex,CURRENT,2023，历史参照,Morgan/ProtBERT双塔，ReLU投影与余弦,SMILES＋蛋白序列,相似度,作者BindingDB任务,官方任务权重已在本地,https://github.com/samsledje/ConPLex,https://github.com/samsledje/ConPLex,保留原始并列分数；审计训练重叠,276480.0,100.0,COMPLETE
DrugCLIP,CURRENT,原架构2023；当前使用全基因组项目版本,分子与口袋3D双塔，六折组合,分子构象＋目标口袋,检索相似度,作者结构/对比学习；检查点成员待核验,官方六折权重已在本地,https://github.com/THU-ATOM/Drug-The-Whole-Genome,https://github.com/THU-ATOM/Drug-The-Whole-Genome,补两靶点输入；冻结无标签选口袋策略,275040.0,99.47916666666667,PARTIAL_SEE_STATUS
DTIAM_A,CURRENT,论文2025；本地A权重2026-09,BerMol768＋ESM2 1280拼接，AutoGluon集成,SMILES＋蛋白序列；首1022残基,Kd/Ki＋明确失活二分类概率,本地A训练337570对；验证选seed20260923,本地任务权重，16对复算通过；非官方任务检查点,https://github.com/CSUBioGroup/DTIAM,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260923/predictor,复用现成A版；报告本地监督、验证选模和版本差异,276480.0,100.0,COMPLETE
Nesso-1,CURRENT,2026预印本/公开版本,残基/分子几何交互，Pairformer，双任务头,蛋白序列及作者原生结构处理＋分子构象,binder；连续log10(IC50/μM)另列,作者多来源；检查点成员待审计,官方任务权重已在本地,https://github.com/recursionpharma/nesso,https://github.com/recursionpharma/nesso,继续现有补算；保留作者置信告警和连续头方向,98528.0,35.636574074074076,PARTIAL_SEE_STATUS
ProbeMatchDTI,CURRENT,已公开仓库；本轮未确认期刊出版日期,token/2D图，多路探针与跨模态融合,SMILES＋蛋白序列,DTI分类,All_Model；完整检查点成员未核验,官方All_Model在本地,https://github.com/developer-hq/ProbeMatchDTI,https://github.com/developer-hq/ProbeMatchDTI,仅模型原始分数；不加入检索已知答案后的重排,276480.0,100.0,COMPLETE
DTBind_occurrence,CURRENT,已公开仓库；本轮未确认期刊出版日期,分子图/蛋白结构图，交叉注意力与门控,分子图＋蛋白残基/结构/表面特征,结合发生分类,作者occurrence任务；成员待核验,官方occurrence权重在本地,https://github.com/liqy09/DTBind,https://github.com/liqy09/DTBind,继续已有任务；结构不匹配不可静默复用；affinity分支另评,204830.0,74.08492476851852,PARTIAL_SEE_STATUS
MAMMAL_pKd,PRIORITY_ADD,2024-10预印本/任务权重；2026-05期刊,458M多模态Transformer，标量预测头,SMILES＋蛋白序列,pKd连续回归,BindingDB Kd/TDC；模型卡声明drug+target cold split,官方任务权重远端已确认，1.832 GB；本地未加载,https://www.nature.com/articles/s44386-026-00047-4,https://huggingface.co/ibm-research/biomed.omics.bl.sm.ma-ted-458m.dti_bindingdb_pkd,固定任务检查点、tokenizer和反标准化参数，先小批复现,0.0,0.0,PENDING_ADAPTER_QUALIFICATION
BALM,PRIORITY_ADD,2025期刊；部分权重早于论文,蛋白/分子LM双塔，PEFT和余弦MSE亲和对齐,SMILES＋蛋白序列,亲和回归；保留原始余弦与作者映射,清洗BindingDB；本轮指定random版，不能按测试挑split,官方BindingDB任务文件远端确认，0.612 GB；未加载,https://doi.org/10.1021/acs.jcim.5c02063,https://huggingface.co/BALM/bdb-cleaned-r-esm-lokr-chemberta-loha-cosinemse,核对基础编码器、LoKr/LoHa依赖、缩放和长度上限,0.0,0.0,PENDING_ADAPTER_QUALIFICATION
EviDTI,PRIORITY_ADD,2025期刊,蛋白LightAttention＋分子2D/3D融合，证据式分类,蛋白序列＋分子2D/3D特征,分类概率和证据不确定性,DrugBank/Davis/KIBA分任务,3套官方任务权重已在本地；目录适配未完成,https://www.nature.com/articles/s41467-025-62235-6,https://zenodo.org/records/14056305,先核对DrugBank原生任务；其他头单列，不按测试挑头,0.0,0.0,PENDING_ADAPTER_QUALIFICATION
GraphBAN,PRIORITY_ADD,2025期刊；权重2025-02,二部图教师蒸馏＋双线性注意力学生/域适配,分子图＋序列表征；原生任务依赖待复现,CPI分类,BindingDB/BioSNAP/KIBA等；指定BindingDB案例版本,官方案例任务包已确认；BindingDB包9.538 GB；未加载,https://github.com/HamidHadipour/GraphBAN,https://zenodo.org/records/14813233,核对案例模型、教师与特征依赖；冻结student推理，不用本地测试做适配,0.0,0.0,PENDING_ADAPTER_QUALIFICATION
SCOPE,CONDITIONAL,2025-12期刊,分子GVP＋蛋白CNN＋双线性注意力,分子3D图＋固定目标库,DTI分类,作者五类靶点分组,轻量推理版25套在本地,https://www.nature.com/articles/s41467-025-66311-9,https://github.com/Yigang-Chen/Lightweight-SCOPE-DTI-for-Inference,先映射384靶点的确切序列；适用子集单列,,,
CheMLT-F,CONDITIONAL,2026期刊,DeBERTa双编码器融合，多任务头,SMILES＋蛋白序列,Davis/KIBA亲和与其他性质，逐头区分,13个数据集的多任务训练；非全部DTI标签,HF完整多任务权重远端确认，单版本0.385 GB,https://doi.org/10.1186/s13321-026-01199-1,https://huggingface.co/BoulderyBoulder/CheMLT-F,检查Davis/KIBA任务头、标准化和scaffold版成员再决定纳入,,,
ADME-DTI,CONDITIONAL,2026期刊,分子指纹＋ESM2/ESMC，深度元集成,分子指纹＋蛋白LM表征,按数据集分别分类/回归,BindingDB等；每个任务包的成员待核验,作者仓库有saved_models任务文件；未下载加载,https://doi.org/10.1002/minf.70033,https://github.com/tariqshaban/adme-dti,核对LFS文件、完整基学习器与元学习器依赖；不按测试选组合,,,
