严格novelty排名,排名,审计ID,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,是否同原适应症领域,是否同已知靶点家族,严格novelty选择说明
1,1,strict895_0094,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,TYK2,类风湿关节炎,rheumatoid arthritis,免疫/炎症,91.05800129063823,0.4590447,23,0.75418882773207,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
2,2,strict895_0007,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,CDK4,乳腺癌,breast cancer,实体瘤,90.19123738405045,0.5462819,4,0.6307216615133534,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
3,3,strict895_0204,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,90.0,0.51115733,3,0.8577261614555013,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
4,4,strict895_0121,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,CDK6,乳腺癌,breast carcinoma,实体瘤,89.73219757559252,0.5462819,5,0.6103198922485568,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
5,5,strict895_0082,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,JAK1,类风湿关节炎,rheumatoid arthritis,免疫/炎症,89.42054989950462,0.44509453,34,0.7103468962742798,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
6,7,strict895_0009,第一轮优先,跨大领域老药新用,Doravirine,未知,,ESR1,乳腺癌,breast cancer,实体瘤,86.55242103915302,0.53315145,7,0.7356631572956897,核受体/转录因子 reporter,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
7,8,strict895_0234,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,86.4770094714397,0.5015137,38,0.6434226431750978,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
8,10,strict895_0081,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,PRKCD,系统性红斑狼疮,systemic lupus erythematosus,免疫/炎症,84.69712297485918,0.5122682,2,0.3865387988826302,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
9,13,strict895_0041,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,LYN,乳腺癌,breast cancer,实体瘤,83.80990680775645,0.45665708,6,0.4370033959002865,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
10,15,strict895_0059,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,PTK6,食管鳞癌,esophageal squamous cell carcinoma,实体瘤,82.29863784914879,0.49339902,1,0.2936303814436496,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
