模型或对照,处置,主线新拟合数,条件拟合数,目的或理由,解释边界
药物单侧/蛋白单侧,新训,6,0,检验实体偏好；各3seed原骨架,
两侧加性,新训,6,0,无配对交互基线；原骨架和冷靶点各3seed,
双塔余弦（共同输入）,新训,3,3,匹配形式对照；GELU主线3seed；ReLU条件3seed,共享BerMol/ESM2的双塔，不命名为完整原版ConPLex
低秩双线性,新训,3,0,显式乘性交互参照；原骨架3seed,
Palinova式共同输入MLP,新训,15,0,原骨架4目标×3seed；冷靶点二分类3seed,输入与维度按控制协议统一；不是旧生产权重的简单继续训练
LightGBM（共同输入）,新训,6,0,强树学习器；原骨架和冷靶点各3seed,单一树模型，不冒充完整DTIAM集成
DrugBAN,适配后新训,6,0,局部交互代表；原骨架和冷靶点各3seed,保留原2D图/序列路线，不启用使用测试数据的域适配；输入差异单列
DTIAM A,复用现成A版,0,0,官方任务权重未确认，按用户授权复用验证选出的A版；无需新增拟合,标为本地A训练而非官方权重；当前仅适用原骨架历史划分，不冒充冷靶点重训
旧ReTargetMap / Palinova A,仅历史归档,0,0,保留生产及已完成A消融证据，ReTargetMap不参赛,共同输入MLP为新训架构对照，不是旧生产权重参赛
ConPLex官方权重,复用推理,0,0,与新共享输入双塔共同构成诊断,原Morgan/ProtBERT与共同输入是不同系统
DrugCLIP / Nesso,复用推理,0,0,保留口袋检索及原生双头；本轮不全量训练结构模型,A标签不会自动补齐其训练所需结构/预处理
ProbeMatchDTI / DTBind,复用推理；暂缓原版重训,0,0,首轮局部交互由DrugBAN承担；若要具体归因这两者还需单独训练,不根据DrugBAN结果概括所有注意力/GNN模型
EviDTI / SCOPE,先验证已有权重,0,0,先解决原生复现和A输入/目标覆盖,有文件不代表统一A任务已经可比
TAPB,条件升级,0,6,需要验证先验去偏时，同时训练有/无干预各3seed,不与全局MLP的一次比较直接当作去偏机制证明
来源去重敏感性,条件升级,0,6,加性与共同输入MLP各3seed,训练规模变化也影响成绩，不能直接当成泄漏贡献
DeepDTA / JEPA / TxGNN,不列新增DTI主线,0,0,DeepDTA暂缓；JEPA独立方法线；TxGNN保留疾病推理,
全部新增B及A/B混合扩量拟合,延期,0,0,遵循用户A为主线的决定；保留既有B数据、权重和结果,不再把大规模B扩训作为得到本研究结论的前提
