protocol,evaluation_scope,model,micro_auprc,target_macro_auprc,drug_macro_auprc,target_query_pair_signal_supported,drug_query_pair_signal_supported,evidence_class,interpretation
S1_SCAFFOLD_COLD_DRUG,ALL_FOLDS_0_4,dtiam_probability,0.8828592902312902,0.8385977011609478,0.8413058400680935,True,True,PUBLIC_SAME_DATA_BASELINE,Official-representation compatible DTIAM baseline.
S1_SCAFFOLD_COLD_DRUG,ALL_FOLDS_0_4,biomaster_stack_score,0.926716078387672,0.8739635408138495,0.8451093121454898,True,True,CUSTOM_CONVENTIONAL_MODEL_SINGLE_SEED,"Strong scaffold-cold advantage, but single-seed and not algorithm novelty."
S1_SCAFFOLD_COLD_DRUG,ALL_FOLDS_0_4,DTIAM_BIOMASTER_SAME_DATA_ROUTED_FUSION,0.9364572521052876,0.884949043475048,0.8619954746566632,True,True,STRONG_NONNOVEL_BASELINE,"Validation-only routed fusion; statistically strong integration, not a new core algorithm."
S2_HOMOLOGY_COLD_TARGET,ALL_FOLDS_0_4,dtiam_probability,0.8144691747760495,0.7769058191362965,0.5786863921991108,True,False,PUBLIC_SAME_DATA_BASELINE,Significantly exceeds BioMaster pooled AUPRC; drug-query pair signal still fails.
S2_HOMOLOGY_COLD_TARGET,ALL_FOLDS_0_4,biomaster_stack_score,0.789508540621471,0.7538487850017697,0.5635846458337599,True,False,CUSTOM_CONVENTIONAL_MODEL_FIVE_SEED,Significantly below DTIAM and fails the drug-query permutation gate.
S2_HOMOLOGY_COLD_TARGET,ALL_FOLDS_0_4,DTIAM_BIOMASTER_SAME_DATA_FUSION,0.8163231248115281,0.7797975620578165,0.5596338798014127,,,NONNOVEL_BLEND,Small nonsignificant pooled gain while drug-macro degrades.
S3_STRICT_DOUBLE_COLD,ALL_FOLDS_0_4,dtiam_probability,0.6516699519601021,0.6902886917688383,0.6597106810390018,True,True,PUBLIC_SAME_DATA_BASELINE,Only frozen single model here that passes both query-direction permutation gates.
S3_STRICT_DOUBLE_COLD,ALL_FOLDS_0_4,biomaster_stack_score,0.6623501051574967,0.6747538995802347,0.6327630325043588,True,False,CUSTOM_CONVENTIONAL_MODEL_FIVE_SEED,"Pooled AUPRC is higher than DTIAM, but old-drug-query signal fails."
S3_STRICT_DOUBLE_COLD,DEVELOPMENT_FOLDS_0_2_CROSSFIT,QUERY_BALANCED_BLEND,0.6674694593411943,0.6952564021738544,0.65705861194128,True,True,STRONG_NONNOVEL_BASELINE,Best development floor; convex score blending is explicitly not algorithm novelty.
S4_FIRST_SEEN_TEMPORAL_2023_2025,FROZEN_TEMPORAL_TEST,DTIAM_RAW,0.7961965751695952,0.7653057908031364,0.8333333333333333,True,True,PUBLIC_SAME_DATA_BASELINE,Temporal same-data public baseline; both query signals pass.
S4_FIRST_SEEN_TEMPORAL_2023_2025,FROZEN_TEMPORAL_TEST,BIOMASTER_STACK_SINGLE_SEED_20260813,0.7957299331955958,0.7760193697327931,0.7750901040057666,True,True,CUSTOM_CONVENTIONAL_MODEL_SINGLE_SEED,"Essentially tied in pooled AUPRC and both signals pass, but drug-macro is lower than DTIAM."
S4_FIRST_SEEN_TEMPORAL_2023_2025,FROZEN_TEMPORAL_TEST,DTIAM_BIOMASTER_SAME_DATA_ROUTED_FUSION,0.8195238007208256,0.8012455978616474,0.8086242405519513,True,True,STRONG_NONNOVEL_BASELINE,Pooled and target-macro improve; drug-macro declines and its paired difference is nonsignificant.
S5_OLD_DRUG_ENTITY_COLD,FROZEN_OLD_DRUG_TEST,DTIAM_RAW,0.3988323542436851,0.6060516504072574,0.7364994384986018,True,True,PUBLIC_SAME_DATA_BASELINE,"Weak pooled old-drug cold baseline, although both query signals pass."
S5_OLD_DRUG_ENTITY_COLD,FROZEN_OLD_DRUG_TEST,BIOMASTER_STACK_FIVE_SEED,0.5623360663135735,0.6363362524743649,0.7573948472031526,True,True,CUSTOM_CONVENTIONAL_MODEL_FIVE_SEED,Substantially exceeds DTIAM and passes both query-direction gates.
S5_OLD_DRUG_ENTITY_COLD,FROZEN_OLD_DRUG_TEST,DTIAM_BIOMASTER_SAME_DATA_ROUTED_FUSION,0.5789450210159981,0.6673654324697117,0.7708997740209261,True,True,STRONG_NONNOVEL_BASELINE,Improves target direction; drug-macro gain over BioMaster has CI lower bound -0.00012.
S5_OLD_DRUG_ENTITY_COLD,FROZEN_OLD_DRUG_TEST,SCOPE_PUBLIC_CHECKPOINT,0.642773455210406,0.7355850347131859,0.848328607495194,,,EXTERNAL_OVERLAP_LIMITED_REFERENCE,Strong public-checkpoint reference; source-overlap boundary prevents a clean same-data claim.
