review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0541,Larotrectinib Sulfate,AKT2,乳腺癌（Open Targets child 优先）、结直肠癌；PI3K/AKT 依赖实体瘤,机制审计：中等优先保留。AKT2 是 PI3K/AKT 生存和代谢轴成员，乳腺癌 child OT 有临床和文献支持，结直肠癌可作次级实体瘤模型。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 breast cancer（score=0.573）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,AKT2 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=breast cancer(0.573), ConPLEx=0.478/rank41; literature_status=unreported_in_local_pubmed_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0542,Trifarotene,PPARG,乳腺癌/导管原位癌；PPARG 代谢-分化相关乳腺癌模型,机制审计：中等优先保留。PPARG 可影响脂代谢、分化和肿瘤代谢状态，乳腺癌文献信号强但临床/遗传证据有限。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 breast carcinoma（score=0.308）。,实验可行性中：reporter 和配体结合 assay 可快速验证，但需正交靶基因和受体选择性排除 reporter 假阳性。,PPARG Gal4/PPRE reporter、TR-FRET 共激活因子招募和 ligand-binding/NanoBRET；细胞测 ADIPOQ/FABP4 等靶基因。,同家族核受体选择性、广谱转录、细胞毒性、荧光素酶/荧光干扰、原药理受体和激素/维甲酸通路反筛。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=breast carcinoma(0.308), ConPLEx=0.451/rank10; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0543,Palonosetron Hydrochloride,SCN5A,心律失常（Open Targets child 优先）、传导异常；心肌肥厚/扩张型心肌病仅作次级模型,机制审计：优先保留。SCN5A/Nav1.5 与心律失常和传导异常有很强遗传/临床证据，但治疗用途和安全 liability 需要分开解释。child OT 和靶点生物学共同支持具体病种，适合进入首轮正交验证。 child OT 最佳疾病为 cardiac arrhythmia（score=0.786）。,实验可行性中高：膜片钳能直接测 target engagement，但成本较高且必须同步做安全通道 panel。,SCN5A/Nav1.5 自动膜片钳测峰电流、失活/恢复动力学和 use-dependence；在心肌细胞或表达细胞中做剂量反应。,hERG/KCNH2、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性、溶剂/渗透压效应反筛；CNS 适应症还需暴露/BBB 风险评估。,中高,P1_keep_high,keep_high,"建议进入首轮小规模正交验证。 审计依据：child OT=cardiac arrhythmia(0.786), ConPLEx=0.606/rank60; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；离子通道实验成本较高，需安全性通道反筛；同靶点家族可能存在机制泄漏/选择性不足。"
strict895_0544,Capmatinib Hydrochloride,PPARG,乳腺癌/导管原位癌；PPARG 代谢-分化相关乳腺癌模型,机制审计：低优先级可审。PPARG 可影响脂代谢、分化和肿瘤代谢状态，乳腺癌文献信号强但临床/遗传证据有限。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 breast carcinoma（score=0.308）。,实验可行性中：reporter 和配体结合 assay 可快速验证，但需正交靶基因和受体选择性排除 reporter 假阳性。,PPARG Gal4/PPRE reporter、TR-FRET 共激活因子招募和 ligand-binding/NanoBRET；细胞测 ADIPOQ/FABP4 等靶基因。,同家族核受体选择性、广谱转录、细胞毒性、荧光素酶/荧光干扰、原药理受体和激素/维甲酸通路反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=breast carcinoma(0.308), ConPLEx=0.217/rank43; literature_status=not_audited_in_local_literature_table. 主要风险：同标签或同治疗方向 novelty 折扣；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0545,Pazopanib Hydrochloride,FLT1,结直肠癌血管生成模型；蛋白尿性 CKD/肾小球内皮损伤仅作低优先级探索,机制审计：低优先级可审。FLT1/VEGFR1 与血管生成和内皮功能相关，实体瘤血管生成故事合理但 child OT 具体疾病分数很低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 chronic kidney disease（score=0.038）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,FLT1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=chronic kidney disease(0.038), ConPLEx=0.909/rank6; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0546,Rolapitant Hydrochloride,JAK1,浆细胞骨髓瘤、T 细胞白血病/AML；JAK/STAT 依赖血液肿瘤,机制审计：低优先级可审。JAK1 连接细胞因子-JAK/STAT 信号和血液肿瘤/炎症疾病，生物学方向合理但本药预测分数偏低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 plasma cell myeloma（score=0.308）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,JAK1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=plasma cell myeloma(0.308), ConPLEx=0.229/rank51; literature_status=not_audited_in_local_literature_table. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
strict895_0547,Maraviroc,TYR,黑色素瘤/原位黑色素瘤；银屑病仅作皮肤炎症对照,机制审计：中等优先保留。TYR 是黑色素合成酶，黑色素瘤和皮肤色素模型有清楚生物学 readout，适合做直接酶学确认。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 melanoma（score=0.555）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,TYR/DOPA oxidation 酶活、melanin 生成和铜螯合控制；黑色素细胞/黑色素瘤细胞做剂量反应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,中,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=melanoma(0.555), ConPLEx=0.299/rank95; literature_status=not_audited_in_local_literature_table. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
strict895_0548,Larotrectinib Sulfate,TOP2A,小细胞肺癌（Open Targets child 优先）、宫颈癌；TOP2A 高表达肿瘤,机制审计：中等优先保留。TOP2A 是 DNA 拓扑异构酶和经典肿瘤细胞增殖/拓扑毒性靶点，SCLC child OT 临床证据较强。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 small cell lung carcinoma（score=0.580）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,TOP2A DNA decatenation/relaxation 和 cleavage-complex assay；细胞测 γH2AX、TOP2A-DNA covalent complex 和细胞周期剂量反应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=small cell lung carcinoma(0.580), ConPLEx=0.506/rank25; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0549,Diazepam,GABRA1,癫痫；精神分裂症/双相障碍仅作神经递质表型,机制审计：仅作对照。GABRA1 是 GABA_A 受体亚基，癫痫 child OT 证据强且与苯二氮卓类药理高度一致。药物-靶点或同方向药理已知/高度重叠，适合做 assay sanity check，不作为新用途候选。 child OT 最佳疾病为 epilepsy（score=0.740）。,实验可行性高，但仅用于阳性/流程控制，不计入新发现优先级。,GABRA1/GABA_A 受体电生理或氯离子通量 assay，测 GABA EC50 shift 和苯二氮卓位点竞争。,hERG/KCNH2、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性、溶剂/渗透压效应反筛；CNS 适应症还需暴露/BBB 风险评估。,对照,P0_control_only,control_only,"仅作阳性/流程控制，不计入新用途发现。 审计依据：child OT=epilepsy(0.740), ConPLEx=0.396/rank12; literature_status=known_pharmacology_or_control_not_new. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；exact_known_target_by_profile_or_control=是；离子通道实验成本较高，需安全性通道反筛；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0550,Enzalutamide,CASP8,乳腺癌（Open Targets child）、胰腺导管腺癌、T 细胞白血病/LGLL,机制审计：低优先级可审。CASP8 是外源性凋亡通路核心半胱天冬酶，可连接肿瘤细胞死亡和免疫逃逸，但细胞死亡 readout 很容易被非特异毒性混淆。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 breast carcinoma（score=0.348）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,CASP8 重组酶 FRET/发光底物活性、活性位点竞争/DSF/SPR；细胞中测 cleaved CASP8、PARP 和 death receptor 依赖性。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=breast carcinoma(0.348), ConPLEx=0.470/rank37; literature_status=reported_post_approval_old_drug_new_target. 主要风险：同标签或同治疗方向 novelty 折扣；疾病方向接近原适应症，老药新用 novelty 较弱。"
