排序,小分子药物名称,新靶点名称,当前实验建议,需先确认的事项,评价理由,pair_id,A药内排名_384,B药内排名_384,共识Top20组合,至少一个AB药内Top20,安排复核建议_未更改实验表
1,tecovirimat,AR — Androgen receptor,仍可探索,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,tecovirimat–AR可直接探索；尚无本轮新增AR实测不是排除理由，乳癌方向需在结合后区分。,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,13,120,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
2,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,先验证CA1活性与含锌构建；若仅高浓度弱响应且无酶活则后置。,piperacillin–CA1有CA7毫摩尔弱效家族线索，不能外推CA1强效或阴性，适合受控探索。,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,19,22,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
3,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,确认含锌CA4域，先酶活再结合，同工酶选择性后续核对。,tamsulosin–CA4预测CA2值不是CA4实验，没有已知直接阴性，可按未知关系探索。,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,53,64,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
4,morphine,CA7 — Carbonic anhydrase 7,仍可探索,先CA7酶学及非特异反筛，仅出现重复、非聚集依赖信号再做梯度。,morphine–CA7已知CA2弱效仅是家族线索，仍可低成本测试CA7；溃疡方向另证。,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,8,69,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
5,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,验证MR-LBD竞争及激动/拮抗，阳性后另核疾病方向。,sotalol–NR3C2可探索MR竞争和方向，不能把原心律药获益归给新受体机制。,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,100,28,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
6,labetalol,MME — Neprilysin,仍可探索,使用合格MME对照，区分原受体效应。,拉贝洛尔–MME缺独立直连但模型前排，可探索新机制；心血管领域重叠只影响新颖性。,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,132,188,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
7,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,成熟CTSC与β2效应分离。,阿福特罗–CTSC可以呼吸领域新机制探索，疾病重叠不是不能做。,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,185,68,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
8,relebactam,MMP7 — Matrilysin,仍可探索,单成分成熟MMP7测定和金属条件对照。,瑞来巴坦肺炎复方作用不能证明MMP7，但本药宿主酶作用可探索。,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,116,147,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
9,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,vismodegib–NTRK1同属肿瘤削弱跨领域新颖性，不削弱研究新靶点结合的资格。,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,376,81,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
10,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,先确认CA4酶活和结合，同药CA7仅在有信号后扩展可节省复测。,metoprolol–CA4没有直接测量只表明未知，可先单靶点探索再扩同药CA7。,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,62,12,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
11,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,确认纯药与含锌CA7，结合及酶抑制一致后另审眼部用途。,solifenacin–CA7的眼病治疗方向未定，但纯酶结合探索可先进行，不从抗胆碱用途推疗效。,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,5,111,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
