排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
1,strict895_0094,第一轮优先,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,TYK2,Non-receptor tyrosine-protein kinase TYK2,类风湿关节炎,rheumatoid arthritis,免疫/炎症,91.05800129063823,0.4590447,23,0.75418882773207,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,SLE、溃疡性结肠炎和银屑病等 TYK2-JAK/STAT 炎症模型,机制合理：TYK2 与SLE、溃疡性结肠炎和银屑病等 TYK2-JAK/STAT 炎症模型形成可检验疾病轴，输入证据和 assay 可行性较好；药物-TYK2 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,TYK2 重组 kinase IC50/ATP 竞争实验；细胞中用 cytokine 刺激后的 pSTAT readout、NanoBRET/CETSA 确认 target engagement。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,TYK2 是强免疫适应症靶点，疾病具体且 assay 成熟；风险主要是 Lubiprostone 是否真有可达的 TYK2 engagement。
2,strict895_0007,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,CDK4,Cyclin-dependent kinase 4,乳腺癌,breast cancer,实体瘤,90.19123738405045,0.5462819,4,0.6307216615133534,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,CDK4/6 依赖 HR+ 乳腺癌、脂肪肉瘤、RB 保留细胞周期依赖肿瘤。,Emtricitabine -> CDK4（Cyclin-dependent kinase 4）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
3,strict895_0204,第一轮优先,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,90.0,0.51115733,3,0.8577261614555013,酶/表观遗传生化,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,炎症性肠病/自身免疫髓系细胞甲基化模型，或 DNMT3A 异常 AML/结直肠癌模型,DNMT3A 甲基转移活性可连接免疫细胞命运和肿瘤表观遗传，具备直接酶学与细胞甲基化 readout。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,DNMT3A 甲基转移酶 assay，细胞内检测 DNA 甲基化标志和 DNMT3A 依赖转录改变。,同家族酶 panel、底物/辅因子干扰、聚集体或氧化还原伪阳性、细胞毒性和通用荧光干扰反筛。,"DNMT3A 免疫/炎症方向有明确表观遗传 assay，Lubiprostone 转向免疫是较干净的新用假说。 评分：ConPLEx=0.511, rank=3, OT=0.90, TxGNN=0.56, CREEDS=0；本地共现未报告。"
4,strict895_0121,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,CDK6,Cyclin-dependent kinase 6,乳腺癌,breast carcinoma,实体瘤,89.73219757559252,0.5462819,5,0.6103198922485568,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,CDK6 依赖 HR+ 乳腺癌、AML/ALL 或淋巴瘤,机制合理：CDK6 与CDK6 依赖 HR+ 乳腺癌、AML/ALL 或淋巴瘤形成可检验疾病轴，输入证据和 assay 可行性较好；药物-CDK6 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,CDK6-Cyclin 复合物 kinase IC50；细胞 pRB、G1 arrest 和 target engagement/NanoBRET，配合 CDK4/6 依赖细胞系。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,CDK6 适应症清晰，Emtricitabine ConPLEx 高/rank=5 且本地共现干净；优先正交验证。
5,strict895_0082,第一轮优先,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,JAK1,Tyrosine-protein kinase JAK1,类风湿关节炎,rheumatoid arthritis,免疫/炎症,89.42054989950462,0.44509453,34,0.7103468962742798,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,JAK1 相关 Crohn 病、银屑病、急性关节炎/RA 免疫炎症模型。,Lubiprostone -> JAK1（Tyrosine-protein kinase JAK1）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
6,strict895_0334,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,89.08695639999999,0.48043478,52,0.8577261614555013,酶/表观遗传生化,keep_high,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,结直肠癌、AML/克隆性造血相关表观遗传模型,机制审计：优先保留。DNMT3A 表观遗传轴与结直肠癌/髓系疾病相关，若药物能调节甲基转移活性则机制可检验。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,DNMT3A 甲基转移酶活/SAH 生成或 CpG 甲基化 assay；SPR/DSF/CETSA 做结合或细胞内 engagement；细胞层面测 5mC/靶基因甲基化。,DNMT1/DNMT3B、SAM/SAH 干扰、DNA 结合/荧光干扰、细胞毒性和全局转录反筛。,建议进入首轮小规模正交验证，成功后再做疾病模型。 审计依据：ConPLEx=0.480/rank52；literature_status=unreported_in_local_pubmed_audit；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
7,strict895_0009,第一轮优先,跨大领域老药新用,Doravirine,CHEMBL2364608__DORAVIRINE,未知,,ESR1,Estrogen receptor,乳腺癌,breast cancer,实体瘤,86.55242103915302,0.53315145,7,0.7356631572956897,核受体/转录因子 reporter,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,ER+ 乳腺癌、子宫内膜癌/内膜增生模型；可加骨/绝经相关模型。,Doravirine -> ESR1（Estrogen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
8,strict895_0234,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,86.4770094714397,0.5015137,38,0.6434226431750978,酶/表观遗传生化,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,心肌肥厚/动脉粥样硬化或 RAS-MAPK 依赖肿瘤中的 SHP2/PTPN11 模型,PTPN11/SHP2 连接 RAS-MAPK、炎症和肥厚信号，疾病机制强且可做直接磷酸酶/细胞 readout。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,重组 SHP2/PTPN11 磷酸酶或变构活性测定，细胞内检测 pERK/pSHP2，并用 PTPN11 knockdown/rescue 验证。,PTPN6/PTPN1 等磷酸酶、还原/氧化敏感假阳性、聚集体、pERK 非特异通路和细胞毒性反筛。,"PTPN11/SHP2 肿瘤方向 assay 成熟，Emtricitabine 转向 SHP2 具有 novelty，可优先小规模验证。 评分：ConPLEx=0.502, rank=38, OT=0.90, TxGNN=0.63, CREEDS=0；本地共现未报告。"
9,strict895_0400,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,CHEMBL1852688,肿瘤,Oncology,PDGFRA,Platelet-derived growth factor receptor alpha,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,86.0,0.64790773,3,0.8245011238749937,酶/表观遗传生化,keep_high,medium,否,是,否,PubMed pair审计未见明确报道,0,0,,,PDGFRA相关肾纤维化、CKD间质成纤维细胞模型,机制较聚焦：PDGFRA与PDGFRA相关肾纤维化、CKD间质成纤维细胞模型的病理轴一致，且该药-靶点假说可用直接engagement和功能readout验证，值得作为本块优先保留。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,PDGFRA kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pPDGFRA/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,存在同靶点家族/同药理类别泄漏风险。；建议进入首批确认实验，但仍需先做选择性反筛。
10,strict895_0081,第一轮优先,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,PRKCD,Protein kinase C delta type,系统性红斑狼疮,systemic lupus erythematosus,免疫/炎症,84.69712297485918,0.5122682,2,0.3865387988826302,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,PRKCD 相关过敏性哮喘、结肠炎、免疫细胞活化模型。,Lubiprostone -> PRKCD（Protein kinase C delta type）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
