review_id,drug_name,target_gene,ensembl_id,direction,concrete_disease_evidence_level,child_ot_status,mapped_candidate_disease_count,best_child_ot_disease_id,best_child_ot_disease_name,best_child_ot_score,best_child_ot_rank_within_target,best_child_genetic_score,best_child_somatic_score,best_child_clinical_score,best_child_known_drug_score,best_child_literature_score,concrete_disease_1,concrete_disease_2,concrete_disease_3,recommended_disease_model_zh,missing_for_final_disease_call_zh
strict895_0001,Difluprednate,KRAS,ENSG00000133703,dermatology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005233,non-small cell lung carcinoma,0.803548887170282,5,0.0,0.8400963905230843,0.946132266361988,0.0,0.9968241901038705,melanoma,KRAS突变NSCLC,胰腺癌,角质形成细胞、成纤维细胞、免疫刺激皮肤模型,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0002,Doravirine,AR,ENSG00000169083,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0008315,prostate cancer,0.8026045909519542,3,0.8383995516368774,0.42555155832813474,0.9921381729517949,0.0,0.9974219983107258,serous cystadenocarcinoma,breast cancer,prostate cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0003,Doravirine And Islatravir,AR,ENSG00000169083,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0008315,prostate cancer,0.8026045909519542,3,0.8383995516368774,0.42555155832813474,0.9921381729517949,0.0,0.9974219983107258,serous cystadenocarcinoma,breast cancer,prostate cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0004,Ombitasvir,IDH2,ENSG00000182054,oncology,B_CREEDS_specific,child_ot_match,5,MONDO_0009693,plasma cell myeloma,0.2925944099199518,48,0.0,0.4559480982087158,0.09118961964174316,0.0,0.1045714053016153,colon cancer,breast cancer,retinoblastoma,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0005,Doravirine,KRAS,ENSG00000133703,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005233,non-small cell lung carcinoma,0.803548887170282,5,0.0,0.8400963905230843,0.946132266361988,0.0,0.9968241901038705,melanoma,colon cancer,testicular cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0006,Doravirine And Islatravir,KRAS,ENSG00000133703,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005233,non-small cell lung carcinoma,0.803548887170282,5,0.0,0.8400963905230843,0.946132266361988,0.0,0.9968241901038705,melanoma,colon cancer,testicular cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0007,Emtricitabine,CDK4,ENSG00000135446,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0007254,breast cancer,0.6307216615133534,3,0.0,0.0,0.9881195500982786,0.0,0.9873938087816652,breast adenocarcinoma,esophagus adenocarcinoma,colorectal adenocarcinoma,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0008,Rilpivirine Hydrochloride,CDK4,ENSG00000135446,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0007254,breast cancer,0.6307216615133534,3,0.0,0.0,0.9881195500982786,0.0,0.9873938087816652,breast adenocarcinoma,esophagus adenocarcinoma,colorectal adenocarcinoma,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0009,Doravirine,ESR1,ENSG00000091831,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0007254,breast cancer,0.7356631572956897,1,0.7768010563979707,0.0,0.9936987588304113,0.0,0.9994954336255412,breast cancer,cervix carcinoma,ER阳性乳腺癌,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0010,Doravirine And Islatravir,ESR1,ENSG00000091831,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0007254,breast cancer,0.7356631572956897,1,0.7768010563979707,0.0,0.9936987588304113,0.0,0.9994954336255412,breast cancer,cervix carcinoma,ER阳性乳腺癌,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0011,Rilpivirine Hydrochloride,FGFR3,ENSG00000068078,oncology,B_CREEDS_specific,child_ot_match,4,MONDO_0010150,head and neck squamous cell carcinoma,0.34553407902345035,84,0.0,0.433908807991186,0.16929184016823612,0.0,0.5744886453658316,testis seminoma,melanoma in situ,head and neck squamous cell carcinoma,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0012,Rilpivirine Hydrochloride,FGFR2,ENSG00000066468,oncology,B_CREEDS_specific,child_ot_match,2,MONDO_0004989,breast carcinoma,0.7171426615665811,17,0.8951433796633295,0.4559480982087158,0.15198269940290526,0.0,0.959627188741979,breast cancer,具体肿瘤亚型待定,优先按靶点选择乳腺癌/肺癌/白血病/结直肠癌等模型,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0013,Rilpivirine Hydrochloride,BTK,ENSG00000010671,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005097,squamous cell lung carcinoma,0.27718489101352634,90,0.0,0.4559480982087158,0.0,0.0,0.0,multiple myeloma,nasopharynx carcinoma,chronic myeloid leukemia,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0014,Atazanavir Sulfate,CCND1,ENSG00000110092,oncology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0007254,breast cancer,0.663919419942994,1,0.41463486834768065,0.0,0.9666496388501741,0.0,0.9804904383715823,breast adenocarcinoma,pancreatic ductal adenocarcinoma,lung cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0015,"Elexacaftor, Ivacaftor, Tezacaftor",IDH1,ENSG00000138413,oncology,B_CREEDS_specific,child_ot_match,5,MONDO_0005028,esophageal adenocarcinoma,0.27810884065023805,88,0.0,0.4559480982087158,0.0,0.0,0.030396539880581056,esophagus adenocarcinoma,colorectal adenocarcinoma,colon cancer,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0016,Lubiprostone,KRAS,ENSG00000133703,immune,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005233,non-small cell lung carcinoma,0.803548887170282,5,0.0,0.8400963905230843,0.946132266361988,0.0,0.9968241901038705,rheumatoid arthritis,KRAS突变NSCLC,胰腺癌,PBMC、T/B细胞、巨噬细胞或炎症刺激上皮共培养,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
strict895_0017,Hydrocortisone Butyrate,KRAS,ENSG00000133703,dermatology,A_CREEDS_and_target_prior,child_ot_match,5,MONDO_0005233,non-small cell lung carcinoma,0.803548887170282,5,0.0,0.8400963905230843,0.946132266361988,0.0,0.9968241901038705,melanoma,KRAS突变NSCLC,胰腺癌,角质形成细胞、成纤维细胞、免疫刺激皮肤模型,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据
