drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
acetaminophen,NEURO_PSYCHIATRIC;MUSCULOSKELETAL_CONNECTIVE,退热；轻微疼痛、肌肉酸痛及头痛对症缓解,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3561bbc3-53b0-4857-8b71-39e165ed95ce,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
albuterol,RESPIRATORY,可逆阻塞性气道疾病支气管痉挛治疗及预防；运动诱发支气管痉挛预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17858afa-dcdf-4612-b475-3b6baadfb639;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=583c6408-45cc-9121-e063-6294a90afcc4;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3236f82c-14e9-dfd4-e063-6294a90ac43d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32377c09-da6d-331c-e063-6294a90a7a46,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
alvimopan,GASTROINTESTINAL,部分肠切除并一期吻合术后促进上下消化道恢复,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=10e39d3b-8621-16f8-e063-6294a90a254e,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
amlodipine,CARDIOVASCULAR,高血压；稳定或血管痉挛性心绞痛及限定冠心病,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6efc0ef6-0424-44fc-a9ea-eb30c3b83239;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c0f83f4-06ad-4bb1-a8e3-dcac43b840cf;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=79f41cd2-6d58-4b03-8b0c-ca91398bc1a9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58d2fbed-3904-3e31-e063-6294a90af21d,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
apixaban,CARDIOVASCULAR;HEMATOLOGIC,非瓣膜房颤卒中/系统栓塞预防；关节置换后DVT预防；DVT/PE及儿童VTE治疗和复发预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a454cd24-0c6d-46e8-b1e4-197388606175;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7be1f4c1-bb2f-4ded-ae9a-515d2a22f93e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1523ab32-2c2c-6501-e063-6394a90aa0b3;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=33a9046a-41cc-46c1-becc-2ff4d7d71538,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
aprepitant;fosaprepitant,GASTROINTESTINAL;ONCOLOGY,化疗相关恶心呕吐预防的联合止吐方案；aprepitant另用于术后恶心呕吐预防,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=377c3ecb-fdec-dde4-e063-6294a90a29bd,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
armodafinil,NEURO_PSYCHIATRIC,OSA相关过度嗜睡、发作性睡病及轮班睡眠障碍的清醒改善；不治疗OSA气道阻塞,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4128759d-ed7c-4130-b24c-a0541f2b9e7f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58e33a21-7816-4fa9-9fc7-c559426ad2b9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3dd49302-f757-d945-e063-6294a90afcba;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ddd06dab-0855-5b4e-e053-2a95a90a5e67,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
atomoxetine,NEURO_PSYCHIATRIC,ADHD治疗，综合治疗组成,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d7ea8f7-981c-4acc-aeaf-7516325bfc0c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d7002d75-edad-4141-91bf-7eebf50ad1aa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=133a4b65-762b-4712-baba-2442546f0379;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ab8d905-e890-4e91-a730-3e5d12f5c23f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
avibactam,INFECTION,ceftazidime复方治疗复杂腹腔感染（联用metronidazole）、复杂尿路感染/肾盂肾炎及院内/呼吸机相关肺炎,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d9c2803f-dc9c-4b19-b4a3-8303bc8c15fd,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
baricitinib,IMMUNE_INFLAMMATORY;MUSCULOSKELETAL_CONNECTIVE;INFECTION;DERMATOLOGIC,RA、住院需呼吸支持COVID-19及严重斑秃,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=866e9f35-9035-4581-a4b1-75a621ab55cf,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
