review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0361,Vismodegib,CTSS,AML、急性T细胞白血病、DLBCL，或CTSS高表达实体瘤免疫微环境模型,机制中等可信：CTSS与AML、急性T细胞白血病、DLBCL，或CTSS高表达实体瘤免疫微环境模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,CTSS纯化酶荧光底物IC50/动力学；细胞CETSA或活性探针确认溶酶体内engagement,CTSB/CTSK/CTSL/其他cathepsin选择性，溶酶体pH、荧光淬灭、聚集体和细胞毒性反筛,medium,P2_keep_medium,keep_medium,疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0362,Bosutinib Monohydrate,FGFR3,FGFR3突变/融合膀胱癌、头颈鳞癌；黑色素瘤/精原细胞瘤仅作次级模型,Bosutinib Monohydrate-FGFR3有较强再发现/同方向或同家族风险；FGFR3与FGFR3突变/融合膀胱癌、头颈鳞癌；黑色素瘤/精原细胞瘤仅作次级模型的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,FGFR3 kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pFGFR3/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P0_control_only,control_only,存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0363,Fostamatinib Disodium,KIT,KIT突变GIST、系统性肥大细胞增多症、AML,机制中等可信：KIT与KIT突变GIST、系统性肥大细胞增多症、AML匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,KIT kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pKIT/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,medium,P2_keep_medium,keep_medium,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。
strict895_0364,Dexamethasone,AR,激素相关肌少症、糖皮质激素性肌病、骨质疏松模型,机制可检验但证据主要来自预测；AR与激素相关肌少症、糖皮质激素性肌病、骨质疏松模型有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,中高：reporter、配体结合和CETSA可操作，但核受体交叉活性与广谱转录效应是主要噪音。,AR配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,high,P3_review_low,review_low,存在同靶点家族/同药理类别泄漏风险。
strict895_0365,Aprepitant,BCL2,CLL、AML、BCL2依赖淋巴瘤,机制中等可信：BCL2与CLL、AML、BCL2依赖淋巴瘤匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,BH3肽竞争FP/BLI/SPR和BCL2热转移；细胞用BH3 profiling、caspase/PARP裂解作功能验证,BCL-XL/MCL1/BCL-W选择性，线粒体膜扰动、非特异细胞毒性、去垢剂敏感聚集体反筛,medium,P2_keep_medium,keep_medium,ConPLEx分数偏低，必须正交验证。；原自动lane偏离BCL2生物学，应改用BH3竞争/凋亡priming而不是离子通道主读数。
strict895_0366,Sonidegib Phosphate,CCND1,CCND1扩增ER+乳腺癌、套细胞淋巴瘤、结直肠癌,机制链条偏弱或不可优先：CCND1与CCND1扩增ER+乳腺癌、套细胞淋巴瘤、结直肠癌的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,Cyclin D1-CDK4/6复合物SPR/CETSA及体外pRb激酶读数；同步检测Cyclin D1蛋白稳定性,CDK4/6直接抑制、广谱细胞周期阻滞、蛋白降解/蛋白酶体效应和细胞毒性反筛,high,P4_deprioritize,deprioritize,本地状态提示已有老药新靶文献线索，创新性折扣。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；CCND1更像通路/复合物依赖靶点，直接小分子结合难，pRb下降不能单独证明engagement。；不建议进入主筛选列表。
strict895_0367,Mifepristone,AR,AR驱动前列腺癌、AR阳性乳腺癌,Mifepristone-AR有较强再发现/同方向或同家族风险；AR与AR驱动前列腺癌、AR阳性乳腺癌的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,AR配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,high,P0_control_only,control_only,本地状态提示已有老药新靶文献线索，创新性折扣。；存在同靶点家族/同药理类别泄漏风险。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0368,Fosaprepitant Dimeglumine,PARP1,BRCA/HRD卵巢癌、乳腺癌、前列腺癌,机制可检验但证据主要来自预测；PARP1与BRCA/HRD卵巢癌、乳腺癌、前列腺癌有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,PARP1 PARylation/NAD+消耗生化实验；DNA损伤后细胞PAR下降和CETSA验证,PARP2/TNKS选择性，DNA嵌入、NAD代谢干扰、复制压力和非特异细胞毒性反筛,high,P3_review_low,review_low,疾病方向接近原标签或同治疗领域，老药新用价值需打折。；ConPLEx分数偏低，必须正交验证。
strict895_0369,Fostamatinib Disodium,PDGFRA,PDGFRA突变GIST、胶质瘤、肉瘤模型,机制中等可信：PDGFRA与PDGFRA突变GIST、胶质瘤、肉瘤模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,PDGFRA kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pPDGFRA/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,medium,P2_keep_medium,keep_medium,存在同靶点家族/同药理类别泄漏风险。
strict895_0370,Etravirine,BTK,CLL、套细胞淋巴瘤、弥漫大B细胞淋巴瘤及B细胞自身免疫模型,Etravirine-BTK有较强再发现/同方向或同家族风险；BTK与CLL、套细胞淋巴瘤、弥漫大B细胞淋巴瘤及B细胞自身免疫模型的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,BTK kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pBTK/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P0_control_only,control_only,本地状态提示已有老药新靶文献线索，创新性折扣。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
