排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
1,P1 前10排名且仍可探索,C384-001,tecovirimat,Envelope phospholipase OPG057,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
2,P1 前10排名且仍可探索,C384-040,piperacillin,Bacterial penicillin-binding protein,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE,CTRL-055,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先验证CA1活性与含锌构建；若仅高浓度弱响应且无酶活则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL261,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
3,P1 前10排名且仍可探索,C384-089,tamsulosin,Adrenergic receptor alpha-1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认含锌CA4域，先酶活再结合，同工酶选择性后续核对。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
4,P1 前10排名且仍可探索,C384-156,morphine,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先CA7酶学及非特异反筛，仅出现重复、非聚集依赖信号再做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
5,P1 前10排名且仍可探索,C384-074,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,验证MR-LBD竞争及激动/拮抗，阳性后另核疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
6,P1 前10排名且仍可探索,C384-194,labetalol,Adrenergic receptor,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,使用合格MME对照，区分原受体效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
7,P1 前10排名且仍可探索,C384-283,arformoterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟CTSC与β2效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
8,P1 前10排名且仍可探索,C384-285,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP7 — Matrilysin,PRINOMASTAT,CTRL-091,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,单成分成熟MMP7测定和金属条件对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL4073,CHEMBL75094,YKPYIPVDTNNYCN-INIZCTEOSA-N
9,P1 前10排名且仍可探索,C384-007,vismodegib,Protein smoothened,NTRK1 — High affinity nerve growth factor receptor,STAUROSPORINE,CTRL-061,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL2815,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
10,P1 前10排名且仍可探索,C384-093,metoprolol,Beta-1 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先确认CA4酶活和结合，同药CA7仅在有信号后扩展可节省复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
