资源,层次,规模,计数单位,内容,用途,状态,数据位置,数量依据日期,边界
ChEMBL37 原库,原始来源,1,SQLite库,原始activity/assay/target/structure/文献,回溯与重建,本地存在,downloads/chembl_37/chembl_37/chembl_37_sqlite/chembl_37.db,2026-09-20,记录与BindingDB可能重复
BindingDB 202609归档,原始来源,8,压缩归档,全包、分来源包、assay与ID映射,训练证据及来源审计,已归档,data/external/affinity_refresh_20260910/BindingDB_All_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_Assays_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_BindingDB_Articles_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_ChEMBL_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_PDSPKi_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_Patents_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_PubChem_202609_tsv.zip;data/external/affinity_refresh_20260910/BindingDB_rsid_eaids_202609_tsv.zip,2026-09-20,各包不能相加当独立实验
母库测量观测,清洗母库,2898928,测量观测行,单位/删失/来源/身份QC，包含需按QC筛选的记录,重建与审计,本地存在,data/processed/biomaster_training_full_20260910_v1/OBSERVATIONS_WITH_QC.parquet,2026-09-20,母库行数不等于可训练唯一配对数
母库任务标签,清洗母库,1768510,配对×任务行,包含灰区/冲突及保护旗标,重建与审计,本地存在,data/processed/biomaster_training_full_20260910_v1/ALL_PAIR_TASK_LABELS.parquet,2026-09-20,母库行数不等于可训练唯一配对数
分子登记,清洗母库,996696,分子登记行,SMILES/身份/固定特征索引,重建与审计,本地存在,data/processed/biomaster_training_full_20260910_v1/MOLECULES.parquet,2026-09-20,母库行数不等于可训练唯一配对数
蛋白登记,清洗母库,5086,蛋白序列登记行,精确序列/标识/固定特征索引,重建与审计,本地存在,data/processed/biomaster_training_full_20260910_v1/TARGETS.parquet,2026-09-20,母库行数不等于可训练唯一配对数
母库来源连接,清洗母库,3150336,配对—来源连接行,原论文/专利等溯源,重建与审计,本地存在,data/processed/biomaster_training_full_20260910_v1/PAIR_CITATIONS.parquet,2026-09-20,母库行数不等于可训练唯一配对数
研究唯一配对宇宙,研究成员,1386225,唯一配对,857332分子、4742蛋白；A/B全部split并集,统一身份连接,已生成并检查,data/research/dti_reliability_20260920_v1/CANONICAL_PAIRS.parquet,2026-09-20,包含验证/测试，不能整表作为训练
A 原骨架训练,研究成员,337570,配对,阳性188799；阴性148771；明确失活105368,训练,已生成并检查,data/research/dti_reliability_20260920_v1/A_scaffold_replay_train.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
A 原骨架验证,研究成员,41806,配对,阳性24419；阴性17387；明确失活11719,验证,已生成并检查,data/research/dti_reliability_20260920_v1/A_scaffold_replay_validation.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
A 原骨架测试,研究成员,39507,配对,阳性23190；阴性16317；明确失活10649,测试,已生成并检查,data/research/dti_reliability_20260920_v1/A_scaffold_replay_test.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
B 原骨架训练,研究成员,1116270,配对,阳性769395；阴性346875；明确失活105368,训练,已生成并检查,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
B 原骨架验证,研究成员,135215,配对,阳性94084；阴性41131；明确失活11719,验证,已生成并检查,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
B 原骨架测试,研究成员,132331,配对,阳性93249；阴性39082；明确失活10649,测试,已生成并检查,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,2026-09-20,A=Kd/Ki＋失活；B=全端点＋失活；失活是阴性子集
来源去重,研究成员,6,成员表,两臂各train/validation/test；详细计数见DATASET_COUNTS.csv,重新训练后检验泛化,已生成并检查,data/research/dti_reliability_20260920_v1/A_source_purged_test.parquet;data/research/dti_reliability_20260920_v1/A_source_purged_train.parquet;data/research/dti_reliability_20260920_v1/A_source_purged_validation.parquet;data/research/dti_reliability_20260920_v1/B_source_purged_test.parquet;data/research/dti_reliability_20260920_v1/B_source_purged_train.parquet;data/research/dti_reliability_20260920_v1/B_source_purged_validation.parquet,2026-09-20,重新划分旧数据；旧任务权重不能作为独立测试
