candidate_id,pair_id,modeled_entity_name,gene_symbol,origin_summary,recommended_disease,verdict,verdict_label,summary,support,concern,next_step,evidence_scope,source_notes,source_urls,search_log
C384-001,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,tecovirimat,AR,人天花治疗，所获美国标签非所有正痘病毒用途,HER2 positive breast carcinoma,PRIORITIZE,优先验证,tecovirimat–AR值得做单靶点结合侦察，尚不支持直接推进乳癌用途。,优先建议主要来自既有本地深核与排名1、阳性近邻0.463，并非本轮新增tecovirimat–AR直接证据。,本轮直接关系检索未找到该药人AR测量；AR激动或拮抗方向及HER2/ER背景尚未解决。,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,FDA检索结果支持重组AR存在经过验证的结合测定与参照数据，不支持tecovirimat结合AR。既有深核结论仅按本地记录引用，未重读其全文。,"[""https://www.fda.gov/science-research/endocrine-disruptor-knowledge-base-edkb/accessing-ar-binding-dataset-androgen-receptor""]","[{""query"": ""tecovirimat androgen receptor binding AR"", ""source"": ""web search"", ""outcome"": ""返回AR方法资料，未定位本配对直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}, {""query"": ""open EMA tecovirimat-siga assessment report"", ""source"": ""https://www.ema.europa.eu/en/documents/assessment-report/tecovirimat-siga-epar-public-assessment-report_en.pdf"", ""outcome"": ""429 Too Many Requests，未取得全文。"", ""access_scope"": ""ACCESS_FAILED""}]"
C384-002,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,NTRK2,敏感革兰阳性菌急性细菌皮肤/结构感染,plasma cell myeloma,CONDITIONAL,有条件保留,tedizolid–NTRK2保留，但应先核对旧安全药理panel，可能避免重复测量。,本地排名2，骨髓瘤关联包含体细胞证据；检索找到tedizolid广谱体外筛查原始论文。,论文片段称20µM筛查中超过50%作用仅MAO-A/B；尚未确认panel是否包含NTRK2，不能据此认定本对阴性。阳性近邻仅0.304。,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,已打开原始论文，读取引言106–107行：20µM广谱筛查；未获得完整靶点名单，TrkB覆盖仍待确认。,"[""https://journals.asm.org/doi/10.1128/aac.00431-13""]","[{""query"": ""tedizolid NTRK2 TrkB binding inhibition"", ""source"": ""web search"", ""outcome"": ""发现原药广谱筛查论文，未定位TrkB配对端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}, {""query"": ""open doi:10.1128/aac.00431-13"", ""source"": ""https://journals.asm.org/doi/10.1128/aac.00431-13"", ""outcome"": ""读取引言的panel总述，仍无TrkB名单。"", ""access_scope"": ""FULL_TEXT_PAGE_SELECTED_PASSAGE""}]"
C384-003,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,MMP12,NAGS缺乏急性高氨血症辅助及慢性维持；PA/MMA导致急性高氨血症辅助治疗；成人/儿科,peripheral vascular disease,CONDITIONAL,有条件保留,carglumic acid–MMP12可以保留为小分子酶结合探索，但不能由谷氨酸类比直接推定有效。,本地排名3及血管病遗传关联；原始研究显示部分含谷氨酸伪二肽可结合MMP12，提供有限结构方向。,研究化合物具有额外疏水取代，不是carglumic acid；分子量190使SPR信号与空白校正更关键，未检得本药直接作用。,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始论文摘要支持含谷氨酸伪二肽家族及结构观察，不是carglumic acid实验。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC3411004/""]","[{""query"": ""carglumic acid MMP12 inhibition binding"", ""source"": ""web search"", ""outcome"": ""仅得到其他谷氨酸伪二肽MMP研究，未找到精确配对。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]"
C384-004,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,FLT3,非瓣膜房颤卒中/系统栓塞预防；关节置换后DVT预防；DVT/PE及儿童VTE治疗和复发预防,rheumatoid arthritis,CONDITIONAL,有条件保留,apixaban–FLT3有跨抗凝到免疫机制探索价值，但需证明独立于原FXa作用的结合。,本地排名4，RA共同疾病有遗传证据；原始论文确证apixaban作用FXa，可用于区分既有机制。,阳性近邻0.306不优于阴性0.314；本轮未定位FLT3直接作用，原药FXa的Ki不能用于FLT3。,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,PubMed摘要支持FXa抑制动力学，不提供FLT3证据。,"[""https://pubmed.ncbi.nlm.nih.gov/21171894/""]","[{""query"": ""apixaban FLT3 inhibition binding"", ""source"": ""web search"", ""outcome"": ""命中FXa原始动力学研究，未定位FLT3测量。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]"
C384-005,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,IGF1R,慢性心绞痛,gout,CONDITIONAL,有条件保留,ranolazine–IGF1R可留作跨心血管到代谢病的机制探索。,本地排名5及痛风遗传关联；化学阳性近邻0.343略高于阴性0.275。,检索仅找到原药离子流和其他受体研究，未找到IGF1R测量；疼痛或代谢改善不等于直接抑制IGF1R。,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始研究片段支持ranolazine心肌离子流作用，不支持IGF1R结合。,"[""https://bpspubs.onlinelibrary.wiley.com/doi/10.1111/bph.14223""]","[{""query"": ""ranolazine IGF1R binding inhibition"", ""source"": ""web search"", ""outcome"": ""未定位精确配对直接实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-006,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,MME,糖尿病周围神经痛、带状疱疹后神经痛、脊髓损伤神经痛；癫痫辅助；纤维肌痛,hypertensive disorder,CONDITIONAL,有条件保留,pregabalin–MME适合已有MME体系上的低成本候补，不宜因降压图谱关联大幅扩展。,本地排名5、阳性近邻0.368；既有深核认为可保留可溶MME酶活侦察。,官方标签确认α2δ原作用，未提供MME证据；小分子量159使SPR检测与空白解释重要。,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,DailyMed检索片段支持α2δ原机制，不证成MME作用。,"[""https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cae9b2b3-656a-4813-af77-b7644879d2ab""]","[{""query"": ""pregabalin neprilysin MME inhibition binding"", ""source"": ""web search"", ""outcome"": ""仅定位原机制标签，未见MME配对端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-007,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,vismodegib,NTRK1,符合既往手术/放疗条件的局晚或转移基底细胞癌,prostate carcinoma,CONDITIONAL,有条件保留,vismodegib–NTRK1可保留为同肿瘤领域的新靶点探索，尚非跨领域优先项。,本地排名2，阳性近邻0.408高于阴性0.275，前列腺癌有体细胞关联。,本轮未找到本药TrkA直接测量；SMO相关抗肿瘤效应不能验证TrkA，计算logP约4.71需核工作液。,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,搜索返回SMO背景和其他TRK抑制剂，未用于宣称本配对实验；原机制取本地审计记录。,[],"[{""query"": ""vismodegib NTRK1 TrkA inhibition binding"", ""source"": ""web search"", ""outcome"": ""未定位精确配对原始实验，返回SMO资料及其他TRK药。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-008,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,AR,慢性特发便秘；慢性疼痛阿片相关便秘；成年女性IBS-C,alopecia,DEFER,建议后置,lubiprostone–AR可保留记录，但脱发应用解释和母药暴露问题使其建议后置。,本地排名6及脱发遗传关联提供探索理由。,本轮直接检索没有AR实验；官方标签显示母药快速广泛代谢，胃肠局部用途不能自然外推毛囊AR作用。,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,官方标签片段支持代谢情况；未提供AR资料。,"[""https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=006b8b6c-f0eb-4246-87da-67582984b0e4&version=3""]","[{""query"": ""lubiprostone androgen receptor binding"", ""source"": ""web search"", ""outcome"": ""返回氯通道/EP受体与标签，未发现AR测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-009,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,DPP4,特定PIK3CA突变HR阳性HER2阴性乳癌联合治疗；另有需系统治疗的严重PROS过度生长谱,rheumatoid arthritis,CONDITIONAL,有条件保留,alpelisib–DPP4保留作已有DPP4体系上的机制验证。,本地结合排名7，RA联合疾病有遗传支持。,精确检索未找到alpelisib直接DPP4实验；其他激酶药DPP4对接和原药PI3K作用都不能补这个缺口。,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,官方标签检索片段支持PI3K原机制；不支持DPP4。,"[""https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b20b4e18-7a4b-4500-a08f-06c6dab0ee5b""]","[{""query"": ""alpelisib DPP4 inhibition binding"", ""source"": ""web search"", ""outcome"": ""命中原PI3K标签、其他药DPP4计算文章，未见本配对直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-010,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,FLT3,成人伴或不伴先兆偏头痛急性治疗；不预防,obesity disorder,DEFER,建议后置,lasmiditan–FLT3建议后置，肥胖关联尚缺药物直接作用与方向桥梁。,本地排名8且肥胖有关联遗传记录，提供探索动机。,GtoPdb返回5-HT1F原作用；未找到FLT3结合，阳性近邻0.312仅有限支持。,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,GtoPdb条目片段支持5-HT1F激动原机制，无FLT3配对证据。,"[""https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3928&tab=summary""]","[{""query"": ""lasmiditan FLT3 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回原机制与其他FLT3抑制剂，未定位本药FLT3测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-011,MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate,CYP19A1,高胆固醇/混合血脂异常和重度高甘油三酯血症,osteoporosis,DEFER,建议后置,choline fenofibrate–CYP19A1不宜因骨质疏松图谱关联优先；检索发现方向相反的动物线索。,本地排名9；fenofibrate原始动物研究确实观察芳香化酶活动变化。,该研究为PPARα依赖的表达下调并伴骨密度下降，不是fenofibric acid直接结合人CYP19A1；母药/酸/盐身份也须区分。,先核实际药物结构与CYP19A1构建，若研究直接抑制则明确属于机制探索，不以治疗骨质疏松为理由放行。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始论文摘要：fenofibrate在小鼠经PPARα降低芳香化酶表达，伴骨密度下降；不能外推直接结合或人临床结果。,"[""https://pubmed.ncbi.nlm.nih.gov/12576508/""]","[{""query"": ""fenofibric acid CYP19A1 aromatase inhibition"", ""source"": ""web search"", ""outcome"": ""发现fenofibrate间接表达/动物研究，无模型酸实体直接结合。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]"
C384-012,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,PPARG,HIV暴露前预防及特定已抑制患者联合rilpivirine短期治疗/注射前导或桥接,diabetic retinopathy,CONDITIONAL,有条件保留,cabotegravir–PPARG保留跨抗病毒到代谢眼病侦察，需首先证明受体作用方向。,本地排名9、阳性近邻0.337，糖尿病视网膜病有遗传关联。,精确检索未定位PPARG结合或转录实验；原HIV整合酶用途不能给出PPARG激动结论。,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,此次搜索未获得可用于支持精确配对的primary来源；评价依据本地原机制和计算记录。,[],"[{""query"": ""cabotegravir PPARG binding activation"", ""source"": ""web search"", ""outcome"": ""返回一般药物资料，未定位精确配对原始实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
