scope,candidate_id,pair_id,drug_name,gene_symbol,original_indications,proposed_indication,route,review_status,llm_verdict,llm_summary,llm_support,llm_concern,llm_next_step,llm_source_urls,llm_search_log,llm_source_notes,action_class,action_label,reason_tags,reason_detail,can_test,critical_condition
BASELINE_384,C384-001,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,tecovirimat,AR,人天花治疗，所获美国标签非所有正痘病毒用途,HER2 positive breast carcinoma,ORIGINAL_BASELINE,REVIEWED,PRIORITIZE,tecovirimat–AR值得做单靶点结合侦察，尚不支持直接推进乳癌用途。,优先建议主要来自既有本地深核与排名1、阳性近邻0.463，并非本轮新增tecovirimat–AR直接证据。,本轮直接关系检索未找到该药人AR测量；AR激动或拮抗方向及HER2/ER背景尚未解决。,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,"[""https://www.fda.gov/science-research/endocrine-disruptor-knowledge-base-edkb/accessing-ar-binding-dataset-androgen-receptor""]","[{""query"": ""tecovirimat androgen receptor binding AR"", ""source"": ""web search"", ""outcome"": ""返回AR方法资料，未定位本配对直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}, {""query"": ""open EMA tecovirimat-siga assessment report"", ""source"": ""https://www.ema.europa.eu/en/documents/assessment-report/tecovirimat-siga-epar-public-assessment-report_en.pdf"", ""outcome"": ""429 Too Many Requests，未取得全文。"", ""access_scope"": ""ACCESS_FAILED""}]",FDA检索结果支持重组AR存在经过验证的结合测定与参照数据，不支持tecovirimat结合AR。既有深核结论仅按本地记录引用，未重读其全文。,EXPLORABLE,仍可探索,"[""DISEASE_DIRECTION""]",tecovirimat–AR可直接探索；尚无本轮新增AR实测不是排除理由，乳癌方向需在结合后区分。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。
BASELINE_384,C384-002,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,NTRK2,敏感革兰阳性菌急性细菌皮肤/结构感染,plasma cell myeloma,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,tedizolid–NTRK2保留，但应先核对旧安全药理panel，可能避免重复测量。,本地排名2，骨髓瘤关联包含体细胞证据；检索找到tedizolid广谱体外筛查原始论文。,论文片段称20µM筛查中超过50%作用仅MAO-A/B；尚未确认panel是否包含NTRK2，不能据此认定本对阴性。阳性近邻仅0.304。,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。,"[""https://journals.asm.org/doi/10.1128/aac.00431-13""]","[{""query"": ""tedizolid NTRK2 TrkB binding inhibition"", ""source"": ""web search"", ""outcome"": ""发现原药广谱筛查论文，未定位TrkB配对端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}, {""query"": ""open doi:10.1128/aac.00431-13"", ""source"": ""https://journals.asm.org/doi/10.1128/aac.00431-13"", ""outcome"": ""读取引言的panel总述，仍无TrkB名单。"", ""access_scope"": ""FULL_TEXT_PAGE_SELECTED_PASSAGE""}]",已打开原始论文，读取引言106–107行：20µM广谱筛查；未获得完整靶点名单，TrkB覆盖仍待确认。,FIRST_RESOLVE,先解决具体问题,"[""ASSAY_UNRESOLVED""]",tedizolid–NTRK2先查20µM旧panel是否覆盖TrkB，不能把未明确靶点的广谱阴性当本对阴性。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。
BASELINE_384,C384-003,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,MMP12,NAGS缺乏急性高氨血症辅助及慢性维持；PA/MMA导致急性高氨血症辅助治疗；成人/儿科,peripheral vascular disease,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,carglumic acid–MMP12可以保留为小分子酶结合探索，但不能由谷氨酸类比直接推定有效。,本地排名3及血管病遗传关联；原始研究显示部分含谷氨酸伪二肽可结合MMP12，提供有限结构方向。,研究化合物具有额外疏水取代，不是carglumic acid；分子量190使SPR信号与空白校正更关键，未检得本药直接作用。,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC3411004/""]","[{""query"": ""carglumic acid MMP12 inhibition binding"", ""source"": ""web search"", ""outcome"": ""仅得到其他谷氨酸伪二肽MMP研究，未找到精确配对。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]",原始论文摘要支持含谷氨酸伪二肽家族及结构观察，不是carglumic acid实验。,EXPLORABLE,仍可探索,"[""INDIRECT_OR_WRONG_ENTITY_EVIDENCE""]",carglumic acid–MMP12不能借用疏水取代伪二肽效力，但母药酶学与结合探索仍可开展。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。
BASELINE_384,C384-004,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,FLT3,非瓣膜房颤卒中/系统栓塞预防；关节置换后DVT预防；DVT/PE及儿童VTE治疗和复发预防,rheumatoid arthritis,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,apixaban–FLT3有跨抗凝到免疫机制探索价值，但需证明独立于原FXa作用的结合。,本地排名4，RA共同疾病有遗传证据；原始论文确证apixaban作用FXa，可用于区分既有机制。,阳性近邻0.306不优于阴性0.314；本轮未定位FLT3直接作用，原药FXa的Ki不能用于FLT3。,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,"[""https://pubmed.ncbi.nlm.nih.gov/21171894/""]","[{""query"": ""apixaban FLT3 inhibition binding"", ""source"": ""web search"", ""outcome"": ""命中FXa原始动力学研究，未定位FLT3测量。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]",PubMed摘要支持FXa抑制动力学，不提供FLT3证据。,EXPLORABLE,仍可探索,"[""ONLY_EVIDENCE_GAP""]",apixaban–FLT3缺直接记录且近邻不占优，仅降低把握；不是FXa药就不能结合FLT3。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。
BASELINE_384,C384-005,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,IGF1R,慢性心绞痛,gout,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,ranolazine–IGF1R可留作跨心血管到代谢病的机制探索。,本地排名5及痛风遗传关联；化学阳性近邻0.343略高于阴性0.275。,检索仅找到原药离子流和其他受体研究，未找到IGF1R测量；疼痛或代谢改善不等于直接抑制IGF1R。,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。,"[""https://bpspubs.onlinelibrary.wiley.com/doi/10.1111/bph.14223""]","[{""query"": ""ranolazine IGF1R binding inhibition"", ""source"": ""web search"", ""outcome"": ""未定位精确配对直接实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",原始研究片段支持ranolazine心肌离子流作用，不支持IGF1R结合。,FIRST_RESOLVE,先解决具体问题,"[""ASSAY_UNRESOLVED""]",ranolazine–IGF1R先明确胞外域还是激酶域，否则结合结果不能回答同一个预测问题。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。
BASELINE_384,C384-006,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,MME,糖尿病周围神经痛、带状疱疹后神经痛、脊髓损伤神经痛；癫痫辅助；纤维肌痛,hypertensive disorder,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,pregabalin–MME适合已有MME体系上的低成本候补，不宜因降压图谱关联大幅扩展。,本地排名5、阳性近邻0.368；既有深核认为可保留可溶MME酶活侦察。,官方标签确认α2δ原作用，未提供MME证据；小分子量159使SPR检测与空白解释重要。,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。,"[""https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cae9b2b3-656a-4813-af77-b7644879d2ab""]","[{""query"": ""pregabalin neprilysin MME inhibition binding"", ""source"": ""web search"", ""outcome"": ""仅定位原机制标签，未见MME配对端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",DailyMed检索片段支持α2δ原机制，不证成MME作用。,EXPLORABLE,仍可探索,"[""ONLY_EVIDENCE_GAP""]",pregabalin–MME缺直接证据且分子小，属于需适当信号控制的探索，不构成不能测。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。
BASELINE_384,C384-007,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,vismodegib,NTRK1,符合既往手术/放疗条件的局晚或转移基底细胞癌,prostate carcinoma,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,vismodegib–NTRK1可保留为同肿瘤领域的新靶点探索，尚非跨领域优先项。,本地排名2，阳性近邻0.408高于阴性0.275，前列腺癌有体细胞关联。,本轮未找到本药TrkA直接测量；SMO相关抗肿瘤效应不能验证TrkA，计算logP约4.71需核工作液。,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,[],"[{""query"": ""vismodegib NTRK1 TrkA inhibition binding"", ""source"": ""web search"", ""outcome"": ""未定位精确配对原始实验，返回SMO资料及其他TRK药。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",搜索返回SMO背景和其他TRK抑制剂，未用于宣称本配对实验；原机制取本地审计记录。,EXPLORABLE,仍可探索,"[""NOVELTY_ONLY""]",vismodegib–NTRK1同属肿瘤削弱跨领域新颖性，不削弱研究新靶点结合的资格。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。
BASELINE_384,C384-008,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,AR,慢性特发便秘；慢性疼痛阿片相关便秘；成年女性IBS-C,alopecia,ORIGINAL_BASELINE,REVIEWED,DEFER,lubiprostone–AR可保留记录，但脱发应用解释和母药暴露问题使其建议后置。,本地排名6及脱发遗传关联提供探索理由。,本轮直接检索没有AR实验；官方标签显示母药快速广泛代谢，胃肠局部用途不能自然外推毛囊AR作用。,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。,"[""https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=006b8b6c-f0eb-4246-87da-67582984b0e4&version=3""]","[{""query"": ""lubiprostone androgen receptor binding"", ""source"": ""web search"", ""outcome"": ""返回氯通道/EP受体与标签，未发现AR测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",官方标签片段支持代谢情况；未提供AR资料。,EXPLORABLE,仍可探索,"[""DISEASE_DIRECTION""]",lubiprostone–AR的母药系统暴露影响再利用解释，不妨碍纯母药结合探索；毛囊用途另证。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。
BASELINE_384,C384-009,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,DPP4,特定PIK3CA突变HR阳性HER2阴性乳癌联合治疗；另有需系统治疗的严重PROS过度生长谱,rheumatoid arthritis,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,alpelisib–DPP4保留作已有DPP4体系上的机制验证。,本地结合排名7，RA联合疾病有遗传支持。,精确检索未找到alpelisib直接DPP4实验；其他激酶药DPP4对接和原药PI3K作用都不能补这个缺口。,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。,"[""https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b20b4e18-7a4b-4500-a08f-06c6dab0ee5b""]","[{""query"": ""alpelisib DPP4 inhibition binding"", ""source"": ""web search"", ""outcome"": ""命中原PI3K标签、其他药DPP4计算文章，未见本配对直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",官方标签检索片段支持PI3K原机制；不支持DPP4。,EXPLORABLE,仍可探索,"[""INDIRECT_OR_WRONG_ENTITY_EVIDENCE""]",alpelisib–DPP4不能用其他激酶药对接或PI3K通路代证，仍可在成熟酶体系探索。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。
BASELINE_384,C384-010,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,FLT3,成人伴或不伴先兆偏头痛急性治疗；不预防,obesity disorder,ORIGINAL_BASELINE,REVIEWED,DEFER,lasmiditan–FLT3建议后置，肥胖关联尚缺药物直接作用与方向桥梁。,本地排名8且肥胖有关联遗传记录，提供探索动机。,GtoPdb返回5-HT1F原作用；未找到FLT3结合，阳性近邻0.312仅有限支持。,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。,"[""https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3928&tab=summary""]","[{""query"": ""lasmiditan FLT3 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回原机制与其他FLT3抑制剂，未定位本药FLT3测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",GtoPdb条目片段支持5-HT1F激动原机制，无FLT3配对证据。,EXPLORABLE,仍可探索,"[""ONLY_EVIDENCE_GAP""]",lasmiditan–FLT3主要是没有直接线索及化学支持有限，不能因此判定无结合可能。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。
